artist_name,year_artist_born,age,length,width,height,year_of_work,age_at_work,lower_est_USD,upper_est_USD,sold_in_USD,Material_Category,act_area,posthumous_combined
Carl Ethan Akeley,1864.0,62.0,30.5,1.0,1.0,1913.0,49.0,30000.0,50000.0,35280.28,2,30.5,1
Anna Mary Robertson (Grandma) Moses,1860.0,101.0,35.6,45.7,1.0,1946.0,86.0,25000.0,35000.0,60480.49,1,1626.92,1
Fairfield Porter,1907.0,68.0,43.8,34.3,1.0,1975.0,68.0,15000.0,20000.0,22680.18,1,1502.3399999999997,1
Dahlov Zorach Ipcar,1917.0,100.0,91.4,61.0,1.0,1976.0,59.0,10000.0,15000.0,11970.1,1,5575.400000000001,1
Wolf Kahn,1927.0,93.0,55.8,76.2,1.0,1985.0,58.0,5000.0,7000.0,7560.06,1,4251.96,1
Wolf Kahn,1927.0,93.0,106.7,167.6,1.0,1976.0,49.0,40000.0,60000.0,56700.45,1,17882.92,1
Adolph Alexander Weinman,1870.0,82.0,66.7,1.0,1.0,1917.0,47.0,15000.0,25000.0,35280.28,2,66.7,1
William Merritt Chase,1849.0,67.0,27.3,27.3,1.0,1886.0,37.0,60000.0,80000.0,75600.61,1,745.2900000000001,1
Emil Fuchs,1866.0,63.0,35.5,29.9,1.0,1901.0,35.0,1500.0,2500.0,3780.03,1,1061.45,1
Theodore Earl Butler,1861.0,75.0,54.0,73.1,1.0,1895.0,34.0,20000.0,30000.0,25200.2,1,3947.3999999999996,1
Mary Cassatt,1844.0,82.0,50.8,35.6,1.0,1909.0,65.0,40000.0,60000.0,44100.35,1,1808.48,1
Anna Hyatt Huntington,1876.0,97.0,20.3,1.0,1.0,1934.0,58.0,10000.0,15000.0,21420.17,2,20.3,1
Charles Ephraim Burchfield,1893.0,74.0,66.0,101.6,1.0,1947.0,54.0,60000.0,80000.0,60480.49,1,6705.599999999999,1
Reginald Marsh,1898.0,56.0,40.6,56.0,1.0,1937.0,39.0,8000.0,12000.0,7560.06,10,2273.6,1
Blanche Lazzell,1878.0,78.0,19.7,17.4,1.0,1924.0,46.0,7000.0,10000.0,16380.13,10,342.78,1
Max Kalish,1891.0,54.0,44.5,1.0,1.0,1945.0,54.0,12000.0,18000.0,11340.09,2,44.5,1
Rackstraw Downes,1939.0,82.0,45.7,238.8,1.0,1996.0,57.0,20000.0,30000.0,69300.56,1,10913.160000000002,0
Wolf Kahn,1927.0,93.0,40.6,45.7,1.0,1973.0,46.0,8000.0,12000.0,8820.07,1,1855.42,1
Milton Avery,1885.0,80.0,22.9,30.5,1.0,1963.0,78.0,20000.0,30000.0,32760.26,1,698.4499999999999,1
Charles Ephraim Burchfield,1893.0,74.0,50.8,68.6,1.0,1927.0,34.0,10000.0,15000.0,27720.22,10,3484.8799999999997,1
Morris Graves,1910.0,91.0,19.0,115.0,1.0,1954.0,44.0,6000.0,8000.0,6930.06,1,2185.0,1
Thomas Hart Benton,1889.0,86.0,42.5,64.8,1.0,1933.0,44.0,70000.0,100000.0,69300.56,5,2754.0,1
Paul Howard Manship,1885.0,81.0,34.3,1.0,1.0,1941.0,56.0,15000.0,25000.0,12600.1,2,34.3,1
Guy Pène Du Bois,1884.0,74.0,63.5,76.2,1.0,1946.0,62.0,50000.0,70000.0,44100.35,1,4838.7,1
Dwight William Tryon,1849.0,76.0,61.0,93.9,1.0,1972.0,123.0,5000.0,7000.0,30240.24,1,5727.900000000001,1
Franklin De Haven,1856.0,78.0,61.0,76.7,1.0,1900.0,44.0,1000.0,1500.0,2772.02,1,4678.7,1
Jonathan Scott Hartley,1845.0,67.0,42.0,1.0,1.0,1910.0,65.0,4000.0,6000.0,2772.02,2,42.0,1
Emil Fuchs,1866.0,63.0,73.1,55.3,1.0,1903.0,37.0,2000.0,3000.0,5292.04,1,4042.4299999999994,1
Alexander Pope,1849.0,75.0,104.1,157.5,1.0,1890.0,41.0,12000.0,18000.0,12600.1,1,16395.75,1
Asher Brown Durand,1796.0,90.0,63.5,101.6,1.0,1864.0,68.0,30000.0,50000.0,37800.3,1,6451.599999999999,1
David Johnson,1827.0,81.0,33.6,54.0,1.0,1869.0,42.0,10000.0,15000.0,6300.05,1,1814.4,1
Antonio Jacobsen,1850.0,71.0,30.5,50.8,1.0,1915.0,65.0,8000.0,12000.0,7560.06,1,1549.3999999999999,1
Alexander Helwig Wyant,1836.0,56.0,50.8,70.8,1.0,1892.0,56.0,7000.0,10000.0,10710.09,1,3596.64,1
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,500.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2019.0,69.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2020.0,70.0,500.0,700.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2015.0,65.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2015.0,65.0,300.0,500.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,45.7,61.0,1.0,2021.0,71.0,300.0,500.0,1260.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,45.7,61.0,1.0,2011.0,61.0,300.0,500.0,882.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2017.0,67.0,200.0,300.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2019.0,69.0,400.0,600.0,882.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2019.0,69.0,300.0,500.0,630.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2009.0,59.0,600.0,800.0,126.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2009.0,59.0,500.0,700.0,504.0,3,2787.7000000000003,0
