artist_name,year_artist_born,age,length,width,height,year_of_work,age_at_work,lower_est_USD,upper_est_USD,sold_in_USD,Material_Category,act_area,posthumous_combined
Raoul Dufy,1877.0,76.0,49.0,64.5,1.0,1941.0,64.0,15000.0,20000.0,35280.0,10,3160.5,1
Diego Rivera,1886.0,71.0,64.8,50.2,1.0,1953.0,67.0,25000.0,35000.0,25200.0,4,3252.96,1
Paul Klee,1879.0,61.0,33.0,21.0,1.0,1933.0,54.0,10000.0,15000.0,31500.0,4,693.0,1
Lynn Chadwick,1914.0,89.0,47.0,1.0,1.0,1964.0,50.0,25000.0,35000.0,22680.0,2,47.0,1
Matta,1911.0,91.0,68.6,50.2,1.0,1970.0,59.0,6000.0,8000.0,5670.0,1,3443.72,1
Cundo Bermúdez,1914.0,94.0,61.0,50.8,1.0,1989.0,75.0,15000.0,20000.0,15120.0,1,3098.7999999999997,1
Ángel Botello,1913.0,73.0,76.2,61.0,1.0,1965.0,52.0,18000.0,22000.0,22680.0,1,4648.2,1
Francisco Matto,1911.0,84.0,52.1,40.0,1.0,1951.0,40.0,5000.0,7000.0,6300.0,1,2084.0,1
Bela de Kristo,1920.0,86.0,40.6,33.0,1.0,1954.0,34.0,2000.0,3000.0,4788.0,1,1339.8,1
Domingo Ramos,1894.0,73.0,60.0,75.0,1.0,1953.0,59.0,8000.0,12000.0,13860.0,1,4500.0,1
George Kars,1882.0,63.0,38.0,46.0,1.0,1928.0,46.0,8000.0,12000.0,10710.0,1,1748.0,1
Maximilien Luce,1858.0,83.0,92.0,73.0,1.0,1936.0,78.0,10000.0,15000.0,13860.0,1,6716.0,1
Maxime Maufra,1861.0,57.0,54.3,80.6,1.0,1907.0,46.0,15000.0,20000.0,20160.0,1,4376.579999999999,1
Maxine Maufra,1861.0,57.0,54.0,81.3,1.0,1906.0,45.0,30000.0,40000.0,37800.0,1,4390.2,1
Gustave Cariot,1872.0,78.0,41.0,32.4,1.0,1912.0,40.0,8000.0,12000.0,27720.0,1,1328.3999999999999,1
Gustave Cariot,1872.0,78.0,50.0,66.0,1.0,1929.0,57.0,10000.0,15000.0,37800.0,1,3300.0,1
Georges d'Espagnat,1870.0,80.0,92.0,73.0,1.0,1921.0,51.0,3000.0,5000.0,4788.0,1,6716.0,1
Maximilien Luce,1858.0,83.0,65.5,54.6,1.0,1935.0,77.0,6000.0,8000.0,7560.0,1,3576.3,1
Armand Guillaumin,1841.0,86.0,54.9,71.4,1.0,1884.0,43.0,6000.0,8000.0,7560.0,1,3919.86,1
Eugene Berman,1899.0,73.0,22.8,30.3,1.0,1940.0,41.0,300.0,500.0,756.0,4,690.84,1
Stuart M. Armfield,1916.0,83.0,55.7,76.1,1.0,1956.0,40.0,800.0,1200.0,15120.0,1,4238.7699999999995,1
Francisco Zúñiga,1912.0,86.0,36.8,1.0,1.0,1972.0,60.0,7000.0,9000.0,11340.0,2,36.8,1
Robert Marc,1943.0,50.0,24.1,54.0,1.0,1990.0,47.0,3000.0,5000.0,1260.0,1,1301.4,1
Jan Lebenstein,1930.0,69.0,54.5,42.0,1.0,1962.0,32.0,2000.0,3000.0,5670.0,4,2289.0,1
Honoré Daumier,1810.0,69.0,22.2,15.6,1.0,1850.0,40.0,60000.0,80000.0,100800.0,3,346.32,1
J. Alfonso Toft,1866.0,98.0,16.5,24.8,1.0,1900.0,34.0,300.0,500.0,630.0,1,409.2,1
J. Alfonso Toft,1866.0,98.0,23.5,34.3,1.0,1900.0,34.0,400.0,600.0,756.0,1,806.05,1
J. Alfonso Toft,1866.0,98.0,16.5,24.1,1.0,1900.0,34.0,300.0,500.0,1008.0,1,397.65000000000003,1
J. Alfonso Toft,1866.0,98.0,16.5,24.1,1.0,1900.0,34.0,300.0,500.0,1008.0,1,397.65000000000003,1
George Grosz,1893.0,66.0,46.0,29.5,1.0,1916.0,23.0,7000.0,9000.0,27720.0,4,1357.0,1
George Grosz,1893.0,66.0,51.0,36.6,1.0,1917.0,24.0,4000.0,6000.0,37800.0,10,1866.6000000000001,1
George Grosz,1893.0,66.0,40.6,29.5,1.0,1916.0,23.0,7000.0,9000.0,22680.0,4,1197.7,1
George Grosz,1893.0,66.0,33.9,24.7,1.0,1920.0,27.0,700.0,1000.0,1260.0,10,837.3299999999999,1
George Grosz,1893.0,66.0,53.3,34.2,1.0,1920.0,27.0,12000.0,18000.0,12600.0,4,1822.8600000000001,1
George Grosz,1893.0,66.0,48.8,63.0,1.0,1925.0,32.0,8000.0,12000.0,37800.0,4,3074.3999999999996,1
Yves Tanguy,1900.0,55.0,50.2,36.8,1.0,1950.0,50.0,15000.0,20000.0,15120.0,10,1847.36,1
Ogden Minton Pleissner,1905.0,78.0,61.6,101.6,1.0,1949.0,44.0,15000.0,25000.0,27720.0,1,6258.5599999999995,1
Balthus,1908.0,93.0,20.9,17.5,1.0,1954.0,46.0,10000.0,15000.0,10710.0,4,365.75,1
Alberto Giacometti,1901.0,65.0,23.3,20.8,1.0,1951.0,50.0,40000.0,60000.0,201600.0,10,484.64000000000004,1
Alberto Giacometti,1901.0,65.0,50.2,31.8,1.0,1954.0,53.0,25000.0,35000.0,25200.0,4,1596.3600000000001,1
Alberto Giacometti,1901.0,65.0,50.1,32.3,1.0,1955.0,54.0,20000.0,30000.0,21420.0,4,1618.2299999999998,1
Alberto Giacometti,1901.0,65.0,18.4,3.2,1.0,1955.0,54.0,12000.0,18000.0,44100.0,4,58.879999999999995,1
Joan Miró,1893.0,90.0,37.5,27.5,1.0,1950.0,57.0,30000.0,50000.0,35280.0,1,1031.25,1
Jean Dubuffet,1901.0,84.0,41.0,52.0,1.0,1961.0,60.0,3000.0,5000.0,3780.0,10,2132.0,1
Jean Dubuffet,1901.0,84.0,26.6,22.5,1.0,1949.0,48.0,2500.0,3500.0,2772.0,10,598.5,1
Jean Dubuffet,1901.0,84.0,65.7,50.5,1.0,1953.0,52.0,3000.0,5000.0,4788.0,10,3317.8500000000004,1
Jean Dubuffet,1901.0,84.0,47.1,37.1,1.0,1959.0,58.0,2000.0,3000.0,2772.0,10,1747.41,1
Jean Dubuffet,1901.0,84.0,33.1,25.0,1.0,1944.0,43.0,2000.0,3000.0,3150.0,10,827.5,1
Claes Oldenburg,1929.0,93.0,38.1,55.9,1.0,1966.0,37.0,10000.0,15000.0,8820.0,1,2129.79,0
Josef Albers,1888.0,88.0,43.2,43.2,1.0,1967.0,79.0,1500.0,2500.0,2394.0,3,1866.2400000000002,1
Josef Albers,1888.0,88.0,54.6,54.6,1.0,1969.0,81.0,3000.0,5000.0,5670.0,3,2981.1600000000003,1
Ilya Bolotowsky,1907.0,74.0,55.9,27.9,27.9,1964.0,57.0,7000.0,9000.0,9450.0,1,43513.119,1
Ilya Bolotowsky,1907.0,74.0,91.4,15.2,17.8,1977.0,70.0,12000.0,18000.0,9450.0,1,24729.184,1
Claes Oldenburg,1929.0,93.0,73.7,101.6,1.0,1972.0,43.0,800.0,1200.0,1134.0,10,7487.92,0
Claes Oldenburg,1929.0,93.0,74.3,101.0,1.0,1972.0,43.0,700.0,1000.0,1008.0,10,7504.299999999999,0
Claes Oldenburg,1929.0,93.0,46.1,66.0,1.0,1975.0,46.0,3000.0,5000.0,3528.0,10,3042.6,0
Claes Oldenburg,1929.0,93.0,91.8,68.3,1.0,1974.0,45.0,700.0,1000.0,4032.0,10,6269.94,0
Claes Oldenburg,1929.0,93.0,78.6,57.4,1.0,1972.0,43.0,800.0,1200.0,1260.0,10,4511.639999999999,0
Claes Oldenburg,1929.0,93.0,80.7,61.4,1.0,1972.0,43.0,800.0,1200.0,1260.0,3,4954.9800000000005,0
Red Grooms,1937.0,85.0,28.0,38.1,1.0,1978.0,41.0,2000.0,3000.0,3780.0,1,1066.8,0
Red Grooms,1937.0,85.0,53.3,71.1,22.9,1989.0,52.0,3000.0,5000.0,8190.0,5,86782.52699999999,0
Grisha Bruskin,1945.0,77.0,54.5,42.0,1.0,1989.0,44.0,5000.0,7000.0,8820.0,10,2289.0,0
Grisha Bruskin,1945.0,77.0,54.5,42.0,1.0,1989.0,44.0,5000.0,7000.0,8820.0,10,2289.0,0
Grisha Bruskin,1945.0,77.0,54.5,42.0,1.0,1989.0,44.0,5000.0,7000.0,4410.0,10,2289.0,0
Grisha Bruskin,1945.0,77.0,54.5,42.0,1.0,1988.0,43.0,5000.0,7000.0,5040.0,10,2289.0,0
Grisha Bruskin,1945.0,77.0,54.5,42.0,1.0,1989.0,44.0,5000.0,7000.0,5292.0,10,2289.0,0
Grisha Bruskin,1945.0,77.0,54.5,44.6,1.0,1989.0,44.0,5000.0,7000.0,9450.0,10,2430.7000000000003,0
Ron Mueck,1958.0,64.0,26.0,12.1,5.5,2001.0,43.0,8000.0,12000.0,11970.0,2,1730.3,0
Szeto Lap,1949.0,73.0,155.6,115.6,1.0,1992.0,43.0,1000.0,2000.0,8190.0,3,17987.359999999997,0
Beatrice Caracciolo,1955.0,67.0,40.0,31.8,1.0,2005.0,50.0,5000.0,7000.0,3780.0,10,1272.0,0
Jules Olitski,1922.0,85.0,43.7,35.6,1.0,2005.0,83.0,3000.0,5000.0,5670.0,1,1555.7200000000003,1
"David Roberts, R.A.",1796.0,68.0,25.1,16.8,1.0,1832.0,36.0,1248.85,1873.27,2675.03,1,421.68000000000006,1
"James Holland, O.W.S.",1799.0,71.0,34.6,25.2,1.0,1858.0,59.0,1248.85,1873.27,2675.03,1,871.92,1
George Chinnery,1774.0,78.0,24.0,17.2,1.0,1816.0,42.0,999.08,1498.62,944.13,4,412.79999999999995,1
Robert White,1645.0,58.0,9.0,7.5,1.0,1681.0,36.0,999.08,1498.62,944.13,2,67.5,1
David Loggan,1632.0,60.0,12.5,10.5,1.0,1670.0,38.0,1873.27,2497.7,2360.32,2,131.25,1
David Loggan,1632.0,60.0,12.5,10.2,1.0,1680.0,48.0,1248.85,1873.27,1258.84,2,127.49999999999999,1
Thomas Forster,1690.0,20.0,11.3,8.4,1.0,1709.0,19.0,999.08,1498.62,944.13,2,94.92000000000002,1
John Smart,1742.0,69.0,5.5,4.6,1.0,1786.0,44.0,999.08,1498.62,3147.1,1,25.299999999999997,1
John Smart,1742.0,69.0,5.9,4.2,1.0,1785.0,43.0,1498.62,2247.93,5035.36,1,24.78,1
"John Smart, Junior",1760.0,49.0,13.5,11.7,1.0,1803.0,43.0,499.54,749.31,472.06,1,157.95,1
"John Downman, A.R.A.",1750.0,74.0,19.6,15.8,1.0,1781.0,31.0,1248.85,1873.27,3461.81,1,309.68000000000006,1
"Paul Sandby, R.A.",1730.0,79.0,18.1,29.0,1.0,1754.0,24.0,999.08,1498.62,1573.55,1,524.9000000000001,1
John Thomas Serres,1759.0,66.0,17.8,53.4,1.0,1803.0,44.0,999.08,1498.62,629.42,1,950.52,1
"Attributed to Sir Thomas Lawrence, P.R.A.",1769.0,61.0,15.6,12.6,1.0,1809.0,40.0,999.08,1498.62,3461.81,4,196.56,1
"Horace Hone, A.R.A.",1754.0,71.0,22.0,18.8,1.0,1812.0,58.0,999.08,1498.62,944.13,1,413.6,1
Nicholas Hilliard,1547.0,72.0,4.4,3.6,1.0,1609.0,62.0,37465.47,49953.96,59794.89,1,15.840000000000002,1
Nicholas Hilliard,1547.0,72.0,5.5,4.4,1.0,1581.0,34.0,4995.4,7493.09,37765.19,1,24.200000000000003,1
Peter Oliver,1584.0,63.0,9.4,7.2,1.0,1645.0,61.0,6244.25,9990.79,40912.29,1,67.68,1
Lawrence Hilliard,1581.0,63.0,4.9,3.8,1.0,1629.0,48.0,2997.24,3496.78,11014.85,1,18.62,1
Lawrence Hilliard,1581.0,64.0,3.0,2.5,1.0,1644.0,63.0,624.42,874.19,472.06,1,7.5,1
Samuel Cooper,1609.0,63.0,7.6,5.9,1.0,1670.0,61.0,18732.74,24976.98,94412.98,1,44.84,1
Josias Barbette,1650.0,80.0,3.7,3.3,1.0,1690.0,40.0,499.54,749.31,3776.52,5,12.209999999999999,1
Samuel Cotes,1734.0,84.0,4.9,3.2,1.0,1778.0,44.0,999.08,1498.62,786.77,1,15.680000000000001,1
John Smart,1742.0,69.0,4.3,3.2,1.0,1798.0,56.0,3746.55,6244.25,3776.52,1,13.76,1
John Smart,1742.0,69.0,3.1,2.8,1.0,1766.0,24.0,749.31,999.08,1573.55,1,8.68,1
Samuel Cotes,1734.0,84.0,7.1,5.2,1.0,1773.0,39.0,999.08,1498.62,629.42,1,36.92,1
William Wood,1769.0,41.0,6.9,5.7,1.0,1797.0,28.0,999.08,1498.62,944.13,1,39.330000000000005,1
Gustavus Hamilton,1739.0,36.0,3.5,3.1,1.0,1765.0,26.0,999.08,1498.62,944.13,1,10.85,1
Thomas Peat,1791.0,14.0,8.7,7.0,1.0,1792.0,1.0,749.31,999.08,2832.39,5,60.89999999999999,1
Thomas Richmond,1771.0,66.0,6.9,5.3,1.0,1794.0,23.0,999.08,1498.62,2045.61,1,36.57,1
William Grimaldi,1751.0,79.0,8.2,6.7,1.0,1793.0,42.0,1248.85,1873.27,786.77,1,54.94,1
John Cox Dillman Engleheart,1784.0,78.0,7.4,5.8,1.0,1802.0,18.0,624.42,999.08,5507.42,1,42.92,1
Charles Shireff,1750.0,81.0,6.9,5.7,1.0,1798.0,48.0,1248.85,1873.27,2202.97,1,39.330000000000005,1
Matthias Finucane,1782.0,28.0,6.8,5.4,1.0,1798.0,16.0,874.19,1123.96,1101.48,1,36.72,1
Negretti & Zambra,1890.0,99.0,26.0,23.0,23.0,1930.0,40.0,999.08,1498.62,3147.1,6,13754.0,1
James Doran-Webb,1967.0,55.0,74.5,1.0,1.0,2020.0,53.0,1873.27,3122.12,1573.55,5,74.5,0
James Doran-Webb,1967.0,55.0,190.0,99.0,1.0,2021.0,54.0,2497.7,3746.55,5979.49,5,18810.0,0
Jonathan Knight,1954.0,68.0,46.0,29.0,1.0,2011.0,57.0,3746.55,6244.25,26750.35,2,1334.0,0
Gustave Keller,1881.0,41.0,51.0,69.0,31.0,1900.0,19.0,4995.4,7493.09,11801.62,2,109089.0,1
Sasha Sykes,1976.0,46.0,42.0,25.5,14.5,2015.0,39.0,3746.55,4995.4,10228.07,10,15529.5,0
Sasha Sykes,1976.0,46.0,34.5,24.0,14.0,2015.0,39.0,3122.12,4995.4,8654.52,10,11592.0,0
Steffan Dam,1961.0,61.0,24.5,1.0,1.0,2006.0,45.0,2497.7,3746.55,2989.74,6,24.5,0
Ablade Glover,1934.0,88.0,44.0,59.5,1.0,1987.0,53.0,3746.55,6244.25,6608.91,1,2618.0,0
Jeff Sonhouse,1968.0,54.0,120.0,51.0,7.0,2012.0,44.0,24976.98,37465.47,62941.99,1,42840.0,0
Richard Slee,1946.0,76.0,65.0,21.5,8.5,2010.0,64.0,4995.4,7493.09,2989.74,10,11878.75,0
Richard Slee,1946.0,76.0,33.0,28.0,6.0,2003.0,57.0,2497.7,3746.55,2360.32,10,5544.0,0
Richard Slee,1946.0,76.0,24.0,33.0,12.0,2012.0,66.0,3746.55,6244.25,1888.26,5,9504.0,0
Keisuke Maeda,1972.0,50.0,36.0,1.0,1.0,2007.0,35.0,1873.27,2497.7,629.42,4,36.0,0
"Hughie O'Donoghue, R.A.",1953.0,69.0,49.0,46.0,1.0,2012.0,59.0,9990.79,14986.19,12588.4,1,2254.0,0
Hew Locke,1959.0,63.0,173.0,46.0,18.0,2009.0,50.0,9990.79,14986.19,15735.5,5,143244.0,0
"Grayson Perry, R.A.",1960.0,62.0,44.2,59.2,1.0,2013.0,53.0,7493.09,9990.79,28323.9,3,2616.6400000000003,0
Vladimir Yankilevsky,1938.0,80.0,41.0,81.5,1.0,1993.0,55.0,3746.55,6244.25,10228.07,1,3341.5,1
Vladimir Yankilevsky,1938.0,80.0,50.0,179.5,1.0,1993.0,55.0,7493.09,9990.79,13375.17,1,8975.0,1
Francisco Infante,1943.0,79.0,30.5,43.0,1.0,1984.0,41.0,3746.55,6244.25,6608.91,1,1311.5,0
Francisco Infante,1943.0,79.0,30.5,43.0,1.0,1984.0,41.0,3746.55,6244.25,5979.49,1,1311.5,0
Ivan Chuikov,1935.0,85.0,48.0,36.0,1.0,1975.0,40.0,1248.85,1873.27,1730.9,10,1728.0,1
Oleg Vassiliev,1931.0,82.0,93.5,70.0,1.0,1987.0,56.0,37465.47,62442.45,75530.39,1,6545.0,1
Leonid Sokov,1941.0,77.0,94.0,83.5,1.0,1999.0,58.0,6244.25,8741.94,13375.17,6,7849.0,1
Yuri Albert,1959.0,63.0,140.0,80.5,1.0,1990.0,31.0,6244.25,8741.94,20456.15,1,11270.0,0
Vladimir Nemukhin,1925.0,91.0,100.0,100.0,1.0,2001.0,76.0,12488.49,18732.74,25176.8,1,10000.0,1
Eduard Steinberg,1937.0,75.0,130.0,130.0,1.0,1990.0,53.0,12488.49,18732.74,22029.7,1,16900.0,1
Oskar Rabin,1928.0,90.0,90.0,110.5,1.0,1973.0,45.0,18732.74,24976.98,66089.09,1,9945.0,1
Vladimir Ovchinnikov,1941.0,74.0,140.0,180.0,1.0,1992.0,51.0,12488.49,18732.74,15735.5,1,25200.0,1
Eduard Gorokhovsky,1929.0,75.0,116.0,116.0,1.0,1992.0,63.0,12488.49,18732.74,12588.4,1,13456.0,1
Anatoly Zverev,1931.0,55.0,28.5,23.0,1.0,1950.0,19.0,1248.85,1873.27,18882.6,1,655.5,1
Anatoly Zverev,1931.0,55.0,57.5,40.0,1.0,1958.0,27.0,1873.27,2497.7,6608.91,1,2300.0,1
Vladimir Yakovlev,1934.0,64.0,60.5,86.0,1.0,1974.0,40.0,2247.93,3122.12,7867.75,10,5203.0,1
Dmitri Krasnopevtsev,1925.0,70.0,48.5,69.0,1.0,1958.0,33.0,18732.74,24976.98,118016.23,1,3346.5,1
Oleg Tselkov,1934.0,88.0,60.5,60.5,1.0,1988.0,54.0,9990.79,14986.19,62941.99,1,3660.25,0
Alexander Kharitonov,1932.0,61.0,43.0,30.0,1.0,1962.0,30.0,12488.49,18732.74,44059.39,1,1290.0,1
Dmitri Krasnopevtsev,1925.0,70.0,34.5,30.5,1.0,1981.0,56.0,24976.98,37465.47,37765.19,1,1052.25,1
Vladimir Weisberg,1924.0,61.0,60.0,66.0,1.0,1972.0,48.0,62442.45,87419.43,94412.98,1,3960.0,1
Oskar Rabin,1928.0,90.0,89.0,108.0,1.0,1965.0,37.0,14986.19,22479.28,37765.19,1,9612.0,1
Oskar Rabin,1928.0,90.0,79.0,109.0,1.0,1967.0,39.0,18732.74,24976.98,59794.89,1,8611.0,1
Ivan Chuikov,1935.0,85.0,180.0,130.0,1.0,1983.0,48.0,74930.94,99907.92,267503.46,5,23400.0,1
Eduard Steinberg,1937.0,75.0,70.0,46.0,1.0,1983.0,46.0,7493.09,9990.79,12588.4,1,3220.0,1
Eduard Steinberg,1937.0,75.0,73.0,103.0,1.0,1979.0,42.0,9990.79,14986.19,22029.7,1,7519.0,1
Eduard Steinberg,1937.0,75.0,86.0,66.0,1.0,1977.0,40.0,7493.09,9990.79,18882.6,1,5676.0,1
Oleg Tselkov,1934.0,88.0,146.0,114.0,1.0,1988.0,54.0,24976.98,37465.47,37765.19,1,16644.0,0
Mikhail Chemiakin,1943.0,79.0,114.0,89.0,1.0,1994.0,51.0,12488.49,18732.74,15735.5,1,10146.0,0
Svetlana Kopystiansky,1950.0,72.0,112.5,182.5,13.0,1989.0,39.0,14986.19,22479.28,18882.6,1,266906.25,0
Sergei Volokhov,1937.0,85.0,196.0,263.0,1.0,1976.0,39.0,37465.47,62442.45,47206.49,1,51548.0,0
Erik Bulatov,1933.0,89.0,42.5,34.0,1.0,1988.0,55.0,14986.19,22479.28,28323.9,10,1445.0,0
Erik Bulatov,1933.0,89.0,29.0,23.0,1.0,1967.0,34.0,4995.4,7493.09,6294.2,10,667.0,0
Erik Bulatov,1933.0,89.0,31.0,23.5,1.0,1992.0,59.0,9990.79,14986.19,12588.4,10,728.5,0
Ilya Kabakov,1933.0,89.0,35.0,57.5,1.0,1973.0,40.0,7493.09,9990.79,9441.3,7,2012.5,0
Viktor Pivovarov,1937.0,85.0,22.0,31.5,1.0,1999.0,62.0,1498.62,2247.93,4720.65,10,693.0,0
Vladimir Yakovlev,1934.0,64.0,58.5,39.0,1.0,1976.0,42.0,2497.7,3746.55,6608.91,10,2281.5,1
Oskar Rabin,1928.0,90.0,70.0,50.5,1.0,1971.0,43.0,22479.28,31221.23,47206.49,1,3535.0,1
Oskar Rabin,1928.0,90.0,65.5,80.0,1.0,1975.0,47.0,18732.74,24976.98,26750.35,1,5240.0,1
Oskar Rabin,1928.0,90.0,60.0,80.5,1.0,1990.0,62.0,12488.49,18732.74,18882.6,1,4830.0,1
Dmitri Krasnopevtsev,1925.0,70.0,39.0,60.0,1.0,1973.0,48.0,37465.47,62442.45,118016.23,1,2340.0,1
Oskar Rabin,1928.0,90.0,53.0,99.5,1.0,1965.0,37.0,22479.28,31221.23,50353.59,1,5273.5,1
Oskar Rabin,1928.0,90.0,54.0,73.0,1.0,2004.0,76.0,7493.09,9990.79,66089.09,1,3942.0,1
Vladimir Yakovlev,1934.0,64.0,62.0,83.5,1.0,1971.0,37.0,4995.4,7493.09,6608.91,10,5177.0,1
Vladimir Nemukhin,1925.0,91.0,79.5,68.0,1.0,1987.0,62.0,7493.09,9990.79,7867.75,5,5406.0,1
Mikhail Chemiakin,1943.0,79.0,33.0,33.0,1.0,1987.0,44.0,1873.27,2497.7,5035.36,10,1089.0,0
Mikhail Chemiakin,1943.0,79.0,32.0,33.0,1.0,1983.0,40.0,1873.27,2497.7,12588.4,10,1056.0,0
Dmitri Plavinsky,1937.0,75.0,122.0,122.5,1.0,1988.0,51.0,49953.96,74930.94,62941.99,1,14945.0,1
Evgeny Rukhin,1943.0,33.0,75.5,50.5,1.0,1961.0,18.0,8741.94,11239.64,17309.05,5,3812.75,1
Dmitry Prigov,1940.0,67.0,30.0,42.0,1.0,1978.0,38.0,9990.79,12488.49,12588.4,4,1260.0,1
Dmitri Plavinsky,1937.0,75.0,81.0,120.5,1.0,1989.0,52.0,14986.19,22479.28,50353.59,1,9760.5,1
Boris Sveshnikov,1927.0,71.0,70.0,85.5,1.0,1984.0,57.0,9990.79,14986.19,12588.4,1,5985.0,1
Boris Sveshnikov,1927.0,71.0,90.0,69.0,1.0,1987.0,60.0,7493.09,9990.79,13375.17,1,6210.0,1
Vasily Sitnikov,1915.0,72.0,78.5,175.5,1.0,1986.0,71.0,18732.74,24976.98,44059.39,1,13776.75,1
Viktor Pivovarov,1937.0,85.0,65.0,90.0,1.0,1985.0,48.0,9990.79,14986.19,50353.59,1,5850.0,0
Viktor Pivovarov,1937.0,85.0,56.0,76.5,1.0,1984.0,47.0,9990.79,14986.19,29897.45,1,4284.0,0
William Brui,1946.0,76.0,146.5,134.0,1.0,1976.0,30.0,3746.55,6244.25,6608.91,1,19631.0,0
Anatoly Zverev,1931.0,55.0,58.5,35.0,1.0,1985.0,54.0,4995.4,7493.09,6608.91,1,2047.5,1
Anatoly Zverev,1931.0,55.0,49.0,35.0,1.0,1970.0,39.0,3746.55,6244.25,8654.52,1,1715.0,1
Anatoly Zverev,1931.0,55.0,40.5,57.5,1.0,1958.0,27.0,3746.55,6244.25,4720.65,1,2328.75,1
Ilya Kabakov,1933.0,89.0,21.0,29.5,1.0,1983.0,50.0,3746.55,6244.25,7867.75,7,619.5,0
Ilya Kabakov,1933.0,89.0,13.0,19.5,1.0,1966.0,33.0,2497.7,3746.55,7080.97,1,253.5,0
Vagrich Bakhchanyan,1938.0,71.0,52.5,43.0,1.0,1972.0,34.0,1248.85,1873.27,2989.74,5,2257.5,1
Vagrich Bakhchanyan,1938.0,71.0,36.5,28.5,1.0,1969.0,31.0,1248.85,1873.27,3461.81,5,1040.25,1
Vagrich Bakhchanyan,1938.0,71.0,43.5,63.0,1.0,1972.0,34.0,2497.7,3746.55,7867.75,5,2740.5,1
Vladimir Yankilevsky,1938.0,80.0,50.0,65.0,1.0,1988.0,50.0,1873.27,2497.7,2517.68,1,3250.0,1
Leonid Borisov,1943.0,70.0,75.0,95.0,1.0,2000.0,57.0,2497.7,3746.55,3147.1,1,7125.0,1
Sergei Shablavin,1944.0,78.0,68.5,66.5,1.0,1968.0,24.0,1873.27,2497.7,2360.32,1,4555.25,0
Vadim Sidur,1924.0,62.0,29.5,21.0,1.0,1979.0,55.0,624.42,874.19,1416.19,7,619.5,1
Mikhail Grobman,1939.0,83.0,40.0,35.0,1.0,1970.0,31.0,374.65,624.42,472.06,10,1400.0,0
Oskar Rabin,1928.0,90.0,28.5,40.0,1.0,1965.0,37.0,999.08,1498.62,1888.26,10,1140.0,1
Oskar Rabin,1928.0,90.0,42.0,30.0,1.0,1956.0,28.0,1248.85,1873.27,4091.23,10,1260.0,1
Ernst Neizvestny,1926.0,90.0,40.5,29.0,1.0,1967.0,41.0,499.54,749.31,944.13,10,1174.5,1
Vladimir Pyatnitsky,1938.0,40.0,50.5,40.0,1.0,1967.0,29.0,2497.7,3746.55,47206.49,10,2020.0,1
Mikhail Kulakov,1933.0,70.0,64.0,44.0,1.0,1967.0,34.0,1248.85,1873.27,5507.42,1,2816.0,1
Vladimir Yakovlev,1934.0,64.0,50.0,37.0,1.0,1972.0,38.0,1873.27,2497.7,7080.97,10,1850.0,1
Vladimir Yakovlev,1934.0,64.0,70.0,49.0,1.0,1960.0,26.0,4995.4,7493.09,22029.7,1,3430.0,1
Vladimir Yakovlev,1934.0,64.0,50.0,37.0,1.0,1972.0,38.0,1873.27,2497.7,4720.65,10,1850.0,1
Anatoly Zverev,1931.0,55.0,41.0,59.0,1.0,1971.0,40.0,999.08,1498.62,1258.84,1,2419.0,1
Anatoly Zverev,1931.0,55.0,57.5,40.5,1.0,1958.0,27.0,1498.62,2247.93,6608.91,1,2328.75,1
Anatoly Zverev,1931.0,55.0,40.5,28.5,1.0,1966.0,35.0,749.31,999.08,4405.94,7,1154.25,1
Evgeny Kropivnitsky,1893.0,86.0,43.5,31.5,1.0,1967.0,74.0,624.42,874.19,1258.84,1,1370.25,1
Mr Doodle,1994.0,28.0,61.2,45.2,1.0,2018.0,24.0,6373.65,10197.84,22486.23,1,2766.2400000000002,0
Mr Doodle,1994.0,28.0,51.0,20.0,1.0,2018.0,24.0,3824.19,6373.65,19273.91,1,1020.0,0
Damien Hirst,1965.0,57.0,52.0,1.0,1.0,2009.0,44.0,2804.41,5098.92,6424.64,1,52.0,0
Damien Hirst,1965.0,57.0,71.0,51.5,1.0,2009.0,44.0,3059.35,5736.28,3854.78,1,3656.5,0
Mr Doodle,1994.0,28.0,30.0,30.5,1.0,2019.0,25.0,2549.46,5098.92,19273.91,1,915.0,0
Mr Doodle,1994.0,28.0,15.3,15.5,1.0,2019.0,25.0,3824.19,6373.65,19273.91,1,237.15,0
Philip Colbert,1979.0,43.0,100.0,120.0,1.0,2020.0,41.0,10197.84,19120.95,28910.87,1,12000.0,0
Snipe1,1974.0,48.0,90.0,144.0,1.0,2020.0,46.0,7648.38,10197.84,15258.51,1,12960.0,0
Eddie Kang,1980.0,42.0,80.0,80.0,1.0,2008.0,28.0,8923.11,12747.3,16061.59,1,6400.0,0
KAWS,1974.0,48.0,25.0,19.0,1.0,2002.0,28.0,30593.51,57362.84,56215.58,1,475.0,0
Kwon Ki-Soo,1972.0,50.0,131.0,194.0,1.0,2011.0,39.0,10197.84,19120.95,12849.28,1,25414.0,0
Damien Hirst,1965.0,57.0,100.0,75.0,1.0,2007.0,42.0,8923.11,11472.57,15258.51,3,7500.0,0
Jerkface,1982.0,40.0,153.0,153.0,1.0,2018.0,36.0,12747.3,25494.59,61034.06,1,23409.0,0
Maiko Kobayashi,1977.0,45.0,27.5,22.0,1.0,2013.0,36.0,2549.46,5098.92,20880.07,1,605.0,0
