artist_name,year_artist_born,age,length,width,title_of_work,height,year_of_work,age_at_work,lower_est_USD,upper_est_USD,sold_in_USD,Material_Category,act_area,posthumous_combined
Etel Adnan,1925.0,96.0,81.0,65.0,Untitled,1.0,1973.0,48.0,74930.94,99907.92,440593.93,1,5265.0,0
Hilary Pecis,1979.0,42.0,106.9,76.3,Summer Patio,1.0,2019.0,40.0,62442.45,87419.43,251767.96,1,8156.47,0
Avery Singer,1987.0,34.0,76.2,98.5,Untitled (Study),1.0,2016.0,29.0,187327.35,249769.8,314709.95,1,7505.700000000001,0
Flora Yukhnovich,1990.0,31.0,169.5,220.0,I'll Have What She's Having,1.0,2020.0,30.0,74930.94,99907.92,2814281.22,1,37290.0,0
Salman Toor,1983.0,38.0,99.5,80.0,Garden Party,1.0,2018.0,35.0,124884.9,187327.35,361916.44,1,7960.0,0
Ewa Juszkiewicz,1984.0,37.0,130.0,100.0,Maria(After Johannes Cornelisz Verspronck),1.0,2013.0,29.0,37465.47,49953.96,440593.93,1,13000.0,0
Banksy,1974.0,47.0,142.0,78.0,Love is in the Bin,18.0,2018.0,44.0,4995396.0,7493094.0,23206112.12,1,199368.0,0
Bridget Riley,1931.0,90.0,158.5,129.0,Red Return,1.0,2011.0,80.0,1248849.0,1873273.5,1907616.85,1,20446.5,0
Enrico Castellani,1930.0,87.0,180.0,180.0,Superficie bianca n. 33,4.0,1966.0,36.0,749309.4,999079.2,1605395.39,1,129600.0,1
Alighiero Boetti,1940.0,54.0,179.0,220.0,Mappa,1.0,1978.0,38.0,2247928.2,2747467.8,3796500.96,5,39380.0,1
Sean Scully,1945.0,76.0,215.9,190.5,Landline Green Blue,1.0,2015.0,70.0,749309.4,999079.2,1318285.0,1,41128.950000000004,0
Albert Oehlen,1954.0,67.0,250.2,125.2,Untitled (Baum 50),1.0,2015.0,61.0,374654.7,499539.6,440593.93,1,31325.04,0
Georg Baselitz,1938.0,83.0,165.0,100.0,Clyfford Still,1.0,2018.0,80.0,437097.15,561982.05,532509.21,1,16500.0,0
Ernst Wilhelm Nay,1902.0,66.0,200.0,160.4,Traum (Dream),1.0,1963.0,61.0,312212.25,437097.15,744064.23,1,32080.0,1
Gerhard Richter,1932.0,89.0,200.0,200.0,S.D.,1.0,1985.0,53.0,8741943.0,11239641.0,12013677.61,1,40000.0,0
Gerhard Richter,1932.0,89.0,180.0,120.0,Abstraktes Bild,1.0,1985.0,53.0,6244245.0,8741943.0,9861286.36,1,21600.0,0
Gerhard Richter,1932.0,89.0,180.0,120.0,Abstraktes Bild,1.0,1985.0,53.0,6244245.0,8741943.0,7421909.61,1,21600.0,0
Albert Oehlen,1954.0,67.0,169.5,209.5,Untitled,1.0,2014.0,60.0,624424.5,874194.3,1076507.84,1,35510.25,0
Piero Manzoni,1933.0,30.0,63.0,53.0,Achrome,20.0,1962.0,29.0,374654.7,499539.6,834730.67,5,66780.0,1
Enrico Castellani,1930.0,87.0,110.0,180.0,Superficie bianca,11.5,1968.0,38.0,437097.15,561982.05,1152063.2,1,227700.0,1
Alighiero Boetti,1940.0,54.0,100.0,70.4,E il resto,1.0,1974.0,34.0,312212.25,374654.7,487175.99,4,7040.000000000001,1
Cy Twombly,1928.0,83.0,150.5,133.5,Untitled,1.0,1982.0,54.0,3122122.5,4370971.5,3577952.39,1,20091.75,1
Philip Guston,1913.0,67.0,49.2,68.8,Head Smoking,1.0,1972.0,59.0,374654.7,499539.6,440593.93,1,3384.96,1
Antony Gormley,1950.0,71.0,50.0,191.0,FIX II,41.0,2002.0,52.0,224792.82,312212.25,298974.45,5,391550.0,0
Miriam Cahn,1949.0,72.0,87.3,70.5,diesen frühling überlebt,1.0,2001.0,52.0,24976.98,37465.47,102280.73,1,6154.65,0
Paula Rego,1935.0,86.0,101.5,75.9,Good Dog,1.0,1994.0,59.0,999079.2,1498618.8,1484506.81,1,7703.85,0
Lucian Freud,1922.0,89.0,19.0,27.3,Head and Shoulders of a Man,1.0,1974.0,52.0,749309.4,999079.2,1378729.3,1,518.7,1
Jadé Fadojutimi,1993.0,28.0,170.0,190.0,The Barefooted Scurry Home,1.0,2017.0,24.0,224792.82,312212.25,1031174.62,1,32300.0,0
Jörg Immendorff,1945.0,62.0,150.2,200.4,Auf zum 38. Parteitag,1.0,1983.0,38.0,99907.92,149861.88,220296.96,1,30100.079999999998,1
Andreas Gursky,1955.0,66.0,144.0,207.5,Chicago Mercantile Exchange,1.0,1997.0,42.0,249769.8,374654.7,623175.65,4,29880.0,0
Alighiero Boetti,1940.0,54.0,100.0,100.0,"Senza titolo (I verbi irregolari, Tocchi e rintocchi, Per nuovi desideri…)",1.0,1989.0,49.0,374654.7,499539.6,502287.07,5,10000.0,1
Fausto Melotti,1901.0,85.0,103.5,94.0,La bestia veliero,21.0,1971.0,70.0,187327.35,249769.8,330445.45,4,204309.0,1
Cinga Samson,1986.0,35.0,80.4,59.9,Lift Off,1.0,2017.0,31.0,62442.45,87419.43,401255.18,1,4815.96,0
Oli Epp,1994.0,27.0,200.0,150.0,Love Song,1.0,2019.0,25.0,31221.23,43709.72,220296.96,4,30000.0,0
Trey Abdella,1994.0,27.0,157.4,99.1,Backyard BBQ,1.0,2018.0,24.0,49953.96,74930.94,149487.23,4,15598.34,0
Mickalene Thomas,1971.0,50.0,213.36,152.4,Clarivel Left,1.0,2014.0,43.0,187327.35,249769.8,570286.9,4,32516.064000000002,0
Etel Adnan,1925.0,96.0,81.0,65.0,Untitled,1.0,1973.0,48.0,74930.94,99907.92,440593.93,4,5265.0,0
Hilary Pecis,1979.0,42.0,106.9,76.3,Summer Patio,1.0,2019.0,40.0,62442.45,87419.43,251767.96,4,8156.47,0
Avery Singer,1987.0,34.0,76.2,98.5,Untitled (Study),1.0,2016.0,29.0,187327.35,249769.8,314709.95,4,7505.700000000001,0
Flora Yukhnovich,1990.0,31.0,169.5,220.0,I'll Have What She's Having,1.0,2020.0,30.0,74930.94,99907.92,2814281.22,1,37290.0,0
Salman Toor,1983.0,38.0,99.5,80.0,Garden Party,1.0,2018.0,35.0,124884.9,187327.35,361916.44,4,7960.0,0
Ewa Juszkiewicz,1984.0,37.0,130.0,100.0,Maria(After Johannes Cornelisz Verspronck),1.0,2013.0,29.0,37465.47,49953.96,440593.93,4,13000.0,0
Banksy,1974.0,47.0,142.0,78.0,Love is in the Bin,18.0,2018.0,44.0,4995396.0,7493094.0,23206112.12,4,199368.0,0
Bridget Riley,1931.0,90.0,158.5,129.0,Red Return,1.0,2011.0,80.0,1248849.0,1873273.5,1907616.85,4,20446.5,0
Enrico Castellani,1930.0,87.0,180.0,180.0,Superficie bianca n. 33,4.0,1966.0,36.0,749309.4,999079.2,1605395.39,4,129600.0,1
Alighiero Boetti,1940.0,54.0,179.0,220.0,Mappa,1.0,1978.0,38.0,2247928.2,2747467.8,3796500.96,5,39380.0,1
Sean Scully,1945.0,76.0,215.9,190.5,Landline Green Blue,1.0,2015.0,70.0,749309.4,999079.2,1318285.0,4,41128.950000000004,0
Albert Oehlen,1954.0,67.0,250.2,125.2,Untitled (Baum 50),1.0,2015.0,61.0,374654.7,499539.6,440593.93,4,31325.04,0
Georg Baselitz,1938.0,83.0,165.0,100.0,Clyfford Still,1.0,2018.0,80.0,437097.15,561982.05,532509.21,4,16500.0,0
Ernst Wilhelm Nay,1902.0,66.0,200.0,160.4,Traum (Dream),1.0,1963.0,61.0,312212.25,437097.15,744064.23,4,32080.0,1
Gerhard Richter,1932.0,89.0,200.0,200.0,S.D.,1.0,1985.0,53.0,8741943.0,11239641.0,12013677.61,4,40000.0,0
Gerhard Richter,1932.0,89.0,180.0,120.0,Abstraktes Bild,1.0,1985.0,53.0,6244245.0,8741943.0,9861286.36,4,21600.0,0
Gerhard Richter,1932.0,89.0,180.0,120.0,Abstraktes Bild,1.0,1985.0,53.0,6244245.0,8741943.0,7421909.61,4,21600.0,0
Albert Oehlen,1954.0,67.0,169.5,209.5,Untitled,1.0,2014.0,60.0,624424.5,874194.3,1076507.84,4,35510.25,0
Piero Manzoni,1933.0,30.0,63.0,53.0,Achrome,20.0,1962.0,29.0,374654.7,499539.6,834730.67,5,66780.0,1
Enrico Castellani,1930.0,87.0,110.0,180.0,Superficie bianca,11.5,1968.0,38.0,437097.15,561982.05,1152063.2,4,227700.0,1
Alighiero Boetti,1940.0,54.0,100.0,70.4,E il resto,1.0,1974.0,34.0,312212.25,374654.7,487175.99,4,7040.000000000001,1
Cy Twombly,1928.0,83.0,150.5,133.5,Untitled,1.0,1982.0,54.0,3122122.5,4370971.5,3577952.39,4,20091.75,1
